	Aimard_TrappeursArkansas_0	Aimard_TrappeursArkansas_1	Aimard_TrappeursArkansas_2	Aimard_TrappeursArkansas_3	Aimard_TrappeursArkansas_4	Aimard_TrappeursArkansas_5	Aimard_TrappeursArkansas_6	Aimard_TrappeursArkansas_7	Aimard_TrappeursArkansas_8	Aimard_TrappeursArkansas_9	Aimard_TrappeursArkansas_10	Aimard_TrappeursArkansas_11	Aimard_TrappeursArkansas_12	Aimard_TrappeursArkansas_13	Aimard_TrappeursArkansas_14	Aimard_TrappeursArkansas_15	Aimard_TrappeursArkansas_16	Aimard_TrappeursArkansas_17	Aimard_TrappeursArkansas_18	Aimard_TrappeursArkansas_19	Aimard_TrappeursArkansas_20	Aimard_TrappeursArkansas_21	Aimard_TrappeursArkansas_sum
camp_NOM_camp	0.0	0.0	0.0	3.0	7.0	12.0	2.0	8.0	3.0	0.0	12.0	6.0	4.0	12.0	13.0	14.0	6.0	2.0	3.0	3.0	1.0	0.0	111.0
encore_ADV_encore	3.0	5.0	3.0	3.0	4.0	8.0	6.0	7.0	4.0	4.0	4.0	6.0	7.0	5.0	1.0	5.0	7.0	5.0	6.0	5.0	7.0	5.0	110.0
vie_NOM_vie	3.0	5.0	7.0	7.0	5.0	5.0	7.0	4.0	2.0	3.0	6.0	3.0	6.0	3.0	5.0	5.0	4.0	11.0	2.0	7.0	7.0	3.0	110.0
Luz_NAM_luz	0.0	0.0	0.0	1.0	5.0	4.0	0.0	7.0	17.0	8.0	4.0	1.0	0.0	4.0	8.0	4.0	19.0	17.0	1.0	5.0	4.0	0.0	109.0
Indiens_NOM_indien	2.0	1.0	10.0	7.0	11.0	14.0	8.0	2.0	1.0	2.0	4.0	10.0	6.0	8.0	3.0	5.0	4.0	1.0	1.0	5.0	3.0	0.0	108.0
fut_VER:simp_être	4.0	5.0	6.0	4.0	6.0	3.0	8.0	4.0	4.0	2.0	3.0	2.0	4.0	5.0	3.0	11.0	5.0	2.0	8.0	6.0	8.0	2.0	105.0
voix_NOM_voix	1.0	14.0	6.0	1.0	3.0	3.0	7.0	2.0	3.0	2.0	7.0	5.0	5.0	10.0	2.0	3.0	6.0	9.0	1.0	7.0	7.0	0.0	104.0
chef_NOM_chef	3.0	0.0	4.0	2.0	13.0	8.0	4.0	1.0	1.0	2.0	8.0	15.0	8.0	8.0	1.0	2.0	2.0	1.0	4.0	9.0	2.0	5.0	103.0
suis_VER:pres_suivre|être	0.0	7.0	1.0	3.0	1.0	0.0	4.0	4.0	8.0	5.0	5.0	7.0	1.0	3.0	7.0	1.0	6.0	11.0	8.0	5.0	12.0	3.0	102.0
autre_ADJ_autre	8.0	4.0	7.0	11.0	3.0	5.0	3.0	5.0	4.0	4.0	3.0	3.0	3.0	2.0	6.0	6.0	5.0	5.0	3.0	3.0	6.0	1.0	100.0
Dieu_NOM_dieu	3.0	4.0	5.0	4.0	2.0	4.0	8.0	3.0	5.0	2.0	6.0	7.0	6.0	1.0	8.0	5.0	5.0	7.0	1.0	7.0	6.0	0.0	99.0
fils_NOM_fil|fils	3.0	29.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	16.0	2.0	0.0	0.0	5.0	4.0	0.0	6.0	12.0	0.0	96.0
tête_NOM_tête	6.0	5.0	8.0	5.0	3.0	2.0	4.0	2.0	2.0	4.0	2.0	5.0	5.0	6.0	5.0	2.0	5.0	6.0	4.0	9.0	6.0	0.0	96.0
avez_VER:pres_avoir	0.0	4.0	10.0	5.0	1.0	6.0	1.0	3.0	4.0	2.0	5.0	3.0	2.0	3.0	1.0	5.0	7.0	9.0	4.0	6.0	8.0	7.0	96.0
si_ADV_si	6.0	5.0	3.0	4.0	5.0	3.0	1.0	2.0	12.0	6.0	4.0	4.0	4.0	4.0	3.0	5.0	2.0	3.0	3.0	4.0	6.0	4.0	93.0
eux_PRO:PER_eux	2.0	2.0	4.0	5.0	12.0	9.0	8.0	3.0	1.0	3.0	6.0	7.0	5.0	3.0	3.0	2.0	3.0	2.0	3.0	4.0	3.0	1.0	91.0
comme_ADV_comme	7.0	7.0	2.0	3.0	3.0	4.0	6.0	1.0	2.0	4.0	5.0	5.0	6.0	3.0	2.0	6.0	9.0	5.0	5.0	1.0	4.0	0.0	90.0
puis_ADV_puis	2.0	5.0	2.0	7.0	2.0	4.0	7.0	4.0	5.0	4.0	4.0	3.0	4.0	7.0	4.0	0.0	4.0	4.0	8.0	4.0	3.0	3.0	90.0
Tête-d'Aigle_NOM_tête-d'aigle	0.0	0.0	2.0	3.0	10.0	1.0	6.0	0.0	0.0	0.0	4.0	13.0	17.0	10.0	0.0	4.0	1.0	1.0	2.0	8.0	3.0	4.0	89.0
pas_NOM_pas	2.0	3.0	7.0	2.0	3.0	5.0	3.0	6.0	7.0	4.0	4.0	0.0	3.0	8.0	10.0	5.0	3.0	2.0	6.0	0.0	3.0	1.0	87.0
cela_PRO:DEM_cela	1.0	2.0	1.0	4.0	2.0	4.0	2.0	4.0	11.0	3.0	9.0	9.0	3.0	2.0	10.0	0.0	2.0	3.0	7.0	5.0	0.0	2.0	86.0
temps_NOM_temps	2.0	3.0	4.0	5.0	1.0	2.0	8.0	7.0	3.0	8.0	5.0	5.0	3.0	6.0	6.0	1.0	5.0	5.0	2.0	2.0	3.0	0.0	86.0
moment_NOM_moment	3.0	4.0	4.0	1.0	1.0	6.0	3.0	4.0	6.0	8.0	8.0	3.0	1.0	3.0	3.0	7.0	1.0	2.0	7.0	5.0	5.0	1.0	86.0
vers_PRP_vers	6.0	6.0	3.0	1.0	2.0	4.0	4.0	2.0	3.0	7.0	1.0	6.0	3.0	8.0	2.0	3.0	2.0	5.0	5.0	5.0	5.0	2.0	85.0
fait_VER:pper_faire	6.0	3.0	6.0	6.0	2.0	4.0	2.0	2.0	1.0	3.0	6.0	0.0	2.0	4.0	6.0	5.0	3.0	2.0	6.0	2.0	7.0	4.0	82.0
Oh_INT_oh	0.0	4.0	2.0	0.0	0.0	1.0	6.0	7.0	9.0	4.0	5.0	7.0	3.0	1.0	6.0	1.0	8.0	6.0	3.0	3.0	4.0	2.0	82.0
la_PRO:PER_la	0.0	4.0	1.0	1.0	3.0	1.0	4.0	3.0	8.0	0.0	5.0	4.0	13.0	2.0	2.0	3.0	7.0	10.0	1.0	3.0	5.0	2.0	82.0
autres_ADJ_autre	3.0	5.0	1.0	2.0	1.0	8.0	8.0	2.0	1.0	6.0	3.0	1.0	3.0	9.0	4.0	5.0	3.0	4.0	5.0	4.0	1.0	3.0	82.0
général_NOM_général	0.0	0.0	0.0	2.0	2.0	5.0	1.0	8.0	8.0	7.0	11.0	0.0	0.0	1.0	6.0	8.0	0.0	0.0	5.0	4.0	12.0	0.0	80.0
cet_PRO:DEM_ce	6.0	7.0	4.0	1.0	1.0	6.0	5.0	4.0	1.0	6.0	2.0	0.0	3.0	4.0	2.0	2.0	2.0	12.0	3.0	1.0	5.0	2.0	79.0
Vous_PRO:PER_vous	0.0	2.0	2.0	5.0	2.0	7.0	1.0	8.0	3.0	2.0	6.0	1.0	0.0	3.0	8.0	3.0	6.0	4.0	4.0	7.0	4.0	1.0	79.0
toutes_PRO:IND_tout	6.0	4.0	3.0	3.0	7.0	6.0	2.0	1.0	3.0	3.0	5.0	6.0	3.0	4.0	1.0	3.0	3.0	6.0	4.0	3.0	1.0	2.0	79.0
ainsi_ADV_ainsi	3.0	1.0	0.0	4.0	5.0	3.0	4.0	6.0	4.0	3.0	3.0	3.0	5.0	3.0	6.0	3.0	7.0	5.0	4.0	2.0	5.0	0.0	79.0
À_PRP_à	3.0	4.0	4.0	3.0	8.0	3.0	4.0	4.0	2.0	7.0	3.0	4.0	2.0	0.0	4.0	3.0	1.0	5.0	4.0	4.0	5.0	1.0	78.0
Mais_KON_mais	4.0	2.0	1.0	3.0	2.0	4.0	6.0	2.0	9.0	5.0	2.0	5.0	6.0	2.0	2.0	3.0	5.0	3.0	4.0	7.0	0.0	1.0	78.0
Belhumeur_NAM_belhumeur	0.0	0.0	6.0	16.0	4.0	0.0	10.0	1.0	0.0	0.0	0.0	13.0	3.0	5.0	0.0	0.0	5.0	4.0	0.0	7.0	0.0	4.0	78.0
tout_PRO:IND_tout	3.0	5.0	4.0	3.0	2.0	5.0	5.0	4.0	4.0	5.0	4.0	2.0	4.0	5.0	2.0	3.0	1.0	5.0	3.0	2.0	2.0	5.0	78.0
doña_NOM_doña	1.0	4.0	2.0	1.0	2.0	0.0	0.0	5.0	10.0	4.0	2.0	0.0	0.0	3.0	5.0	2.0	15.0	12.0	1.0	1.0	7.0	0.0	77.0
leur_PRO:PER_lui	0.0	1.0	3.0	5.0	4.0	8.0	3.0	1.0	5.0	2.0	3.0	1.0	3.0	6.0	6.0	6.0	4.0	0.0	8.0	3.0	0.0	4.0	76.0
toujours_ADV_toujours	7.0	6.0	3.0	8.0	2.0	3.0	3.0	7.0	4.0	5.0	3.0	3.0	2.0	1.0	1.0	2.0	3.0	2.0	0.0	3.0	4.0	3.0	75.0
entre_PRP_entre	4.0	4.0	3.0	4.0	3.0	3.0	3.0	4.0	0.0	4.0	1.0	7.0	4.0	9.0	1.0	5.0	4.0	5.0	0.0	2.0	2.0	3.0	75.0
mes_DET:POS_mon	1.0	3.0	0.0	3.0	1.0	1.0	4.0	4.0	3.0	0.0	3.0	4.0	5.0	5.0	2.0	6.0	4.0	8.0	3.0	3.0	7.0	4.0	74.0
regard_NOM_regard	5.0	8.0	1.0	7.0	2.0	3.0	5.0	2.0	2.0	4.0	3.0	4.0	5.0	2.0	3.0	2.0	2.0	7.0	1.0	2.0	2.0	1.0	73.0
ont_VER:pres_avoir	5.0	4.0	3.0	3.0	2.0	4.0	7.0	5.0	1.0	5.0	3.0	8.0	2.0	4.0	2.0	2.0	0.0	2.0	0.0	1.0	7.0	2.0	72.0
main_NOM_main	2.0	4.0	4.0	3.0	1.0	3.0	4.0	1.0	2.0	1.0	7.0	2.0	6.0	3.0	4.0	5.0	2.0	2.0	4.0	3.0	7.0	2.0	72.0
autour_ADV_autour	2.0	3.0	0.0	3.0	4.0	5.0	9.0	3.0	2.0	1.0	3.0	2.0	4.0	6.0	2.0	6.0	2.0	1.0	3.0	6.0	1.0	4.0	72.0
aussi_ADV_aussi	3.0	4.0	1.0	1.0	2.0	6.0	1.0	3.0	2.0	6.0	2.0	4.0	6.0	3.0	4.0	3.0	5.0	5.0	1.0	1.0	5.0	4.0	72.0
oncle_NOM_oncle	0.0	0.0	0.0	0.0	2.0	0.0	0.0	8.0	24.0	4.0	2.0	0.0	0.0	0.0	4.0	0.0	7.0	7.0	0.0	3.0	10.0	0.0	71.0
cheval_NOM_cheval	6.0	11.0	8.0	4.0	4.0	1.0	2.0	1.0	3.0	2.0	3.0	4.0	2.0	2.0	3.0	1.0	0.0	0.0	0.0	7.0	4.0	3.0	71.0
..._PUN_...	2.0	7.0	7.0	0.0	3.0	4.0	9.0	8.0	3.0	2.0	1.0	6.0	4.0	3.0	5.0	1.0	0.0	2.0	2.0	0.0	1.0	0.0	70.0
rien_ADV_rien	1.0	4.0	4.0	1.0	1.0	4.0	2.0	7.0	5.0	3.0	3.0	4.0	3.0	2.0	4.0	3.0	3.0	7.0	1.0	4.0	2.0	2.0	70.0
coup_NOM_coup	6.0	4.0	2.0	1.0	4.0	4.0	5.0	1.0	7.0	2.0	3.0	2.0	4.0	6.0	4.0	3.0	4.0	0.0	1.0	4.0	2.0	1.0	70.0
yeux_NOM_œil	2.0	9.0	5.0	2.0	3.0	1.0	6.0	4.0	1.0	1.0	3.0	0.0	2.0	5.0	4.0	0.0	3.0	3.0	4.0	6.0	5.0	1.0	70.0
devant_PRP_devant	4.0	4.0	3.0	5.0	2.0	4.0	3.0	3.0	3.0	2.0	2.0	1.0	2.0	3.0	4.0	1.0	4.0	7.0	3.0	6.0	2.0	2.0	70.0
femme_NOM_femme	4.0	4.0	6.0	2.0	1.0	2.0	1.0	0.0	0.0	0.0	2.0	10.0	24.0	3.0	0.0	1.0	2.0	1.0	0.0	2.0	2.0	2.0	69.0
assez_ADV_assez	0.0	0.0	3.0	3.0	5.0	1.0	2.0	3.0	1.0	7.0	1.0	2.0	5.0	4.0	4.0	0.0	5.0	5.0	11.0	1.0	3.0	1.0	67.0
chose_NOM_chose	1.0	3.0	2.0	1.0	3.0	0.0	4.0	2.0	9.0	8.0	1.0	4.0	3.0	1.0	4.0	1.0	4.0	2.0	5.0	4.0	3.0	1.0	66.0
instant_NOM_instant	0.0	4.0	5.0	3.0	7.0	1.0	4.0	4.0	4.0	2.0	3.0	3.0	3.0	2.0	4.0	2.0	4.0	4.0	3.0	1.0	3.0	0.0	66.0
dire_VER:infi_dire	2.0	0.0	0.0	1.0	1.0	0.0	1.0	6.0	2.0	5.0	8.0	3.0	1.0	3.0	6.0	2.0	1.0	7.0	8.0	2.0	5.0	2.0	66.0
êtes_VER:pres_être	0.0	7.0	0.0	3.0	2.0	4.0	3.0	3.0	2.0	2.0	3.0	4.0	1.0	0.0	8.0	2.0	6.0	1.0	4.0	5.0	1.0	5.0	66.0
enfant_NOM_enfant	10.0	7.0	5.0	2.0	2.0	0.0	0.0	2.0	11.0	1.0	2.0	1.0	4.0	1.0	3.0	1.0	6.0	0.0	0.0	0.0	8.0	0.0	66.0
prairies_NOM_prairie	0.0	1.0	8.0	3.0	2.0	0.0	0.0	4.0	1.0	5.0	5.0	4.0	2.0	5.0	4.0	2.0	2.0	2.0	3.0	8.0	3.0	1.0	65.0
-moi_PRO:PER_moi	2.0	3.0	0.0	0.0	1.0	2.0	6.0	1.0	3.0	4.0	3.0	2.0	7.0	3.0	3.0	2.0	4.0	6.0	3.0	5.0	3.0	2.0	65.0
cœur_NOM_cœur	1.0	5.0	2.0	2.0	1.0	0.0	2.0	0.0	3.0	0.0	1.0	6.0	8.0	8.0	1.0	2.0	1.0	9.0	1.0	4.0	5.0	2.0	64.0
alors_ADV_alors	3.0	1.0	3.0	1.0	2.0	4.0	5.0	4.0	2.0	5.0	7.0	3.0	1.0	1.0	4.0	4.0	1.0	3.0	3.0	1.0	4.0	2.0	64.0
fois_NOM_fois	5.0	3.0	4.0	1.0	6.0	2.0	2.0	6.0	4.0	0.0	4.0	3.0	3.0	3.0	0.0	5.0	3.0	2.0	3.0	4.0	0.0	1.0	64.0
feu_NOM_feu	1.0	3.0	10.0	2.0	4.0	13.0	5.0	1.0	0.0	0.0	3.0	2.0	3.0	5.0	1.0	3.0	1.0	1.0	2.0	3.0	1.0	0.0	64.0
Et_KON_et	0.0	2.0	2.0	3.0	3.0	1.0	5.0	6.0	1.0	2.0	5.0	5.0	2.0	5.0	4.0	1.0	4.0	1.0	3.0	3.0	5.0	1.0	64.0
docteur_NOM_docteur	0.0	0.0	0.0	3.0	8.0	2.0	0.0	3.0	0.0	1.0	6.0	0.0	0.0	3.0	11.0	1.0	5.0	0.0	17.0	3.0	0.0	0.0	63.0
visage_NOM_visage	6.0	6.0	5.0	1.0	2.0	1.0	9.0	2.0	2.0	2.0	1.0	1.0	4.0	0.0	1.0	2.0	1.0	4.0	4.0	2.0	7.0	0.0	63.0
guide_NOM_guide	0.0	0.0	0.0	0.0	2.0	1.0	0.0	16.0	12.0	11.0	7.0	0.0	0.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	62.0
nuit_NOM_nuit	3.0	7.0	5.0	3.0	2.0	4.0	1.0	2.0	1.0	0.0	10.0	2.0	0.0	3.0	2.0	6.0	2.0	0.0	2.0	2.0	5.0	0.0	62.0
toute_PRO:IND_tout	1.0	3.0	3.0	1.0	2.0	7.0	4.0	1.0	4.0	1.0	2.0	3.0	5.0	2.0	2.0	2.0	5.0	5.0	3.0	2.0	4.0	0.0	62.0
ici_ADV_ici	0.0	1.0	2.0	4.0	1.0	4.0	2.0	2.0	3.0	8.0	7.0	2.0	3.0	0.0	3.0	2.0	2.0	3.0	5.0	6.0	2.0	0.0	62.0
L'_DET:ART_le	2.0	6.0	5.0	7.0	3.0	4.0	1.0	1.0	3.0	2.0	1.0	1.0	4.0	4.0	6.0	1.0	3.0	2.0	0.0	0.0	2.0	3.0	61.0
Un_DET:ART_un	2.0	2.0	7.0	1.0	1.0	5.0	4.0	3.0	3.0	4.0	2.0	0.0	5.0	4.0	2.0	1.0	3.0	2.0	2.0	5.0	0.0	3.0	61.0
reprit_VER:simp_reprendre	3.0	1.0	4.0	2.0	1.0	1.0	1.0	6.0	3.0	3.0	3.0	4.0	4.0	4.0	1.0	2.0	3.0	4.0	2.0	3.0	4.0	2.0	61.0
depuis_PRP_depuis	2.0	2.0	2.0	0.0	4.0	2.0	1.0	2.0	4.0	3.0	4.0	4.0	1.0	3.0	3.0	0.0	6.0	3.0	4.0	1.0	7.0	3.0	61.0
afin_KON_afin	0.0	1.0	2.0	6.0	5.0	0.0	1.0	2.0	1.0	3.0	5.0	3.0	4.0	6.0	4.0	5.0	2.0	2.0	3.0	3.0	2.0	0.0	60.0
Élan-Noir_NOM_élan-noir	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	9.0	5.0	0.0	3.0	6.0	8.0	4.0	2.0	0.0	3.0	0.0	3.0	59.0
sous_PRP_sous	4.0	3.0	6.0	6.0	5.0	6.0	4.0	2.0	1.0	2.0	2.0	1.0	3.0	1.0	1.0	0.0	2.0	0.0	7.0	2.0	0.0	0.0	58.0
milieu_NOM_milieu	1.0	0.0	2.0	4.0	3.0	5.0	2.0	5.0	1.0	1.0	4.0	1.0	3.0	5.0	2.0	5.0	5.0	3.0	2.0	3.0	1.0	0.0	58.0
vos_DET:POS_votre	0.0	5.0	2.0	1.0	1.0	4.0	3.0	5.0	2.0	2.0	2.0	1.0	1.0	5.0	3.0	0.0	3.0	6.0	6.0	5.0	1.0	0.0	58.0
Ramon_NAM_ramon	9.0	34.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	58.0
trop_ADV_trop	4.0	0.0	2.0	7.0	3.0	3.0	2.0	1.0	4.0	1.0	0.0	4.0	3.0	1.0	5.0	2.0	3.0	3.0	4.0	0.0	2.0	3.0	57.0
sourire_NOM_sourire	4.0	1.0	1.0	2.0	2.0	2.0	5.0	5.0	2.0	0.0	2.0	5.0	5.0	3.0	2.0	1.0	5.0	3.0	3.0	0.0	1.0	3.0	57.0
mains_NOM_main	3.0	5.0	3.0	2.0	2.0	4.0	3.0	2.0	2.0	2.0	0.0	4.0	3.0	2.0	1.0	3.0	5.0	4.0	2.0	2.0	2.0	1.0	57.0
don_NOM_don	10.0	30.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	57.0
pirate_NOM_pirate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	1.0	6.0	11.0	13.0	17.0	3.0	0.0	57.0
auprès_ADV_auprès	0.0	2.0	7.0	1.0	1.0	2.0	2.0	2.0	6.0	3.0	1.0	3.0	1.0	2.0	4.0	5.0	1.0	2.0	8.0	0.0	2.0	2.0	57.0
avons_VER:pres_avoir	2.0	1.0	3.0	3.0	2.0	3.0	2.0	4.0	2.0	2.0	1.0	5.0	0.0	6.0	1.0	1.0	4.0	1.0	5.0	4.0	2.0	3.0	57.0
écria_VER:simp_écrier	0.0	5.0	1.0	0.0	4.0	4.0	3.0	1.0	0.0	2.0	0.0	7.0	4.0	4.0	5.0	2.0	2.0	4.0	1.0	2.0	5.0	0.0	56.0
pirates_NOM_pirate	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	7.0	16.0	7.0	0.0	3.0	9.0	6.0	0.0	56.0
jamais_ADV_jamais	2.0	4.0	3.0	3.0	3.0	2.0	2.0	2.0	3.0	1.0	1.0	4.0	2.0	3.0	3.0	1.0	1.0	5.0	2.0	2.0	4.0	3.0	56.0
grand_ADJ_grand	5.0	2.0	5.0	1.0	2.0	2.0	1.0	2.0	1.0	4.0	3.0	5.0	0.0	2.0	7.0	3.0	5.0	2.0	0.0	4.0	0.0	0.0	56.0
quelque_PRO:IND_quelque	2.0	2.0	1.0	4.0	2.0	0.0	5.0	4.0	4.0	6.0	2.0	4.0	3.0	1.0	3.0	1.0	2.0	1.0	2.0	1.0	3.0	2.0	55.0
Mon_DET:POS_mon	0.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	3.0	3.0	4.0	4.0	7.0	3.0	2.0	1.0	3.0	0.0	0.0	4.0	9.0	5.0	55.0
guerriers_NOM_guerrier	0.0	0.0	1.0	3.0	5.0	2.0	1.0	0.0	0.0	0.0	1.0	2.0	12.0	4.0	0.0	7.0	2.0	0.0	0.0	13.0	1.0	1.0	55.0
près_ADV_près	2.0	2.0	2.0	6.0	7.0	0.0	3.0	1.0	0.0	2.0	4.0	2.0	0.0	5.0	5.0	4.0	4.0	1.0	1.0	0.0	0.0	3.0	54.0
ami_NOM_ami	0.0	0.0	0.0	5.0	0.0	2.0	8.0	1.0	0.0	5.0	3.0	9.0	1.0	2.0	5.0	0.0	1.0	2.0	1.0	2.0	3.0	4.0	54.0
laquelle_PRO:REL_lequel	2.0	3.0	3.0	5.0	2.0	3.0	1.0	0.0	4.0	1.0	1.0	1.0	4.0	2.0	4.0	5.0	2.0	1.0	1.0	3.0	3.0	2.0	53.0
Oui_INT_oui	2.0	0.0	1.0	1.0	4.0	0.0	1.0	9.0	3.0	4.0	6.0	3.0	6.0	3.0	4.0	0.0	2.0	1.0	0.0	1.0	2.0	0.0	53.0
contre_PRP_contre	2.0	1.0	3.0	2.0	1.0	5.0	4.0	2.0	4.0	2.0	6.0	1.0	3.0	2.0	3.0	2.0	0.0	5.0	0.0	3.0	2.0	0.0	53.0
prairie_NOM_prairie	0.0	0.0	7.0	8.0	4.0	3.0	1.0	5.0	0.0	8.0	2.0	2.0	0.0	3.0	3.0	1.0	1.0	3.0	0.0	1.0	0.0	0.0	52.0
longtemps_ADV_longtemps	0.0	4.0	2.0	1.0	3.0	0.0	3.0	2.0	4.0	0.0	1.0	1.0	3.0	3.0	7.0	3.0	1.0	2.0	1.0	5.0	5.0	1.0	52.0
grande_ADJ_grand	4.0	1.0	4.0	4.0	1.0	1.0	2.0	4.0	2.0	2.0	3.0	4.0	1.0	0.0	1.0	4.0	2.0	1.0	3.0	4.0	2.0	2.0	52.0
moins_ADV_moins	3.0	0.0	1.0	4.0	1.0	2.0	1.0	6.0	2.0	5.0	2.0	2.0	1.0	0.0	5.0	2.0	3.0	5.0	1.0	0.0	3.0	3.0	52.0
-même_ADJ_même	2.0	3.0	2.0	5.0	1.0	1.0	2.0	0.0	1.0	0.0	4.0	0.0	4.0	0.0	6.0	3.0	5.0	4.0	2.0	2.0	4.0	1.0	52.0
jusqu'_PRP_jusque	3.0	2.0	2.0	2.0	6.0	1.0	2.0	2.0	3.0	3.0	4.0	2.0	2.0	3.0	3.0	4.0	2.0	2.0	1.0	1.0	1.0	0.0	51.0
seul_ADJ_seul	1.0	3.0	2.0	4.0	3.0	0.0	0.0	1.0	1.0	1.0	8.0	1.0	1.0	2.0	2.0	1.0	4.0	2.0	2.0	1.0	8.0	2.0	50.0
celui_PRO:DEM_celui	3.0	3.0	1.0	2.0	0.0	1.0	2.0	0.0	1.0	5.0	5.0	0.0	1.0	6.0	1.0	1.0	3.0	0.0	2.0	2.0	9.0	2.0	50.0
presque_ADV_presque	1.0	2.0	4.0	0.0	5.0	2.0	1.0	3.0	1.0	2.0	3.0	1.0	1.0	3.0	2.0	6.0	0.0	2.0	2.0	3.0	4.0	2.0	50.0
joie_NOM_joie	1.0	1.0	1.0	0.0	0.0	3.0	6.0	2.0	1.0	1.0	0.0	3.0	1.0	1.0	1.0	5.0	2.0	4.0	4.0	3.0	7.0	3.0	50.0
mort_NOM_mort	0.0	2.0	1.0	6.0	1.0	4.0	7.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	3.0	5.0	0.0	1.0	0.0	4.0	9.0	0.0	50.0
notre_DET:POS_notre	1.0	2.0	0.0	2.0	3.0	1.0	1.0	0.0	1.0	4.0	3.0	4.0	3.0	3.0	1.0	7.0	4.0	1.0	1.0	3.0	2.0	3.0	50.0
grotte_NOM_grotte	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	2.0	8.0	5.0	12.0	11.0	3.0	0.0	49.0
soleil_NOM_soleil	3.0	4.0	5.0	1.0	2.0	2.0	2.0	3.0	2.0	4.0	2.0	3.0	2.0	2.0	4.0	2.0	0.0	0.0	2.0	1.0	2.0	1.0	49.0
elles_PRO:PER_elle	2.0	0.0	2.0	1.0	1.0	1.0	1.0	1.0	17.0	0.0	2.0	3.0	1.0	0.0	3.0	2.0	0.0	2.0	6.0	2.0	0.0	2.0	49.0
bandits_NOM_bandit	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	2.0	0.0	0.0	3.0	5.0	5.0	7.0	3.0	12.0	4.0	0.0	0.0	49.0
-je_PRO:PER_je	2.0	3.0	1.0	0.0	0.0	1.0	2.0	2.0	1.0	0.0	4.0	1.0	4.0	2.0	0.0	0.0	3.0	3.0	1.0	3.0	8.0	8.0	49.0
déjà_ADV_déjà	3.0	1.0	3.0	1.0	2.0	5.0	3.0	3.0	2.0	1.0	5.0	1.0	2.0	4.0	1.0	3.0	1.0	1.0	3.0	0.0	2.0	2.0	49.0
Alors_ADV_alors	2.0	1.0	1.0	6.0	2.0	2.0	5.0	2.0	2.0	6.0	2.0	0.0	2.0	1.0	5.0	2.0	1.0	0.0	0.0	3.0	1.0	2.0	48.0
jours_NOM_jour	0.0	1.0	2.0	1.0	2.0	2.0	0.0	9.0	4.0	1.0	1.0	3.0	2.0	0.0	0.0	0.0	1.0	6.0	0.0	4.0	5.0	4.0	48.0
bon_ADJ_bon	1.0	0.0	1.0	0.0	1.0	3.0	1.0	4.0	4.0	2.0	3.0	4.0	0.0	1.0	1.0	1.0	3.0	8.0	3.0	2.0	2.0	3.0	48.0
heure_NOM_heure	2.0	1.0	3.0	2.0	1.0	2.0	0.0	4.0	2.0	2.0	3.0	3.0	1.0	2.0	6.0	1.0	1.0	4.0	3.0	1.0	2.0	1.0	47.0
bras_NOM_bras	1.0	4.0	0.0	1.0	4.0	3.0	2.0	1.0	2.0	1.0	2.0	2.0	5.0	3.0	3.0	1.0	0.0	3.0	2.0	1.0	2.0	4.0	47.0
frère_NOM_frère	0.0	0.0	0.0	2.0	3.0	3.0	1.0	0.0	0.0	0.0	10.0	12.0	3.0	7.0	0.0	1.0	0.0	0.0	0.0	3.0	1.0	1.0	47.0
sais_VER:pres_savoir	0.0	3.0	1.0	1.0	1.0	0.0	3.0	6.0	2.0	4.0	4.0	4.0	0.0	2.0	2.0	0.0	1.0	2.0	3.0	2.0	2.0	4.0	47.0
dit_VER:pper_dire	0.0	1.0	1.0	4.0	1.0	3.0	0.0	3.0	4.0	4.0	2.0	5.0	4.0	4.0	1.0	1.0	1.0	2.0	1.0	3.0	2.0	0.0	47.0
Nous_PRO:PER_nous	0.0	0.0	0.0	3.0	2.0	2.0	5.0	1.0	1.0	3.0	4.0	6.0	2.0	2.0	1.0	0.0	2.0	2.0	2.0	5.0	2.0	2.0	47.0
demanda_VER:simp_demander	1.0	1.0	3.0	2.0	2.0	1.0	1.0	3.0	3.0	2.0	3.0	3.0	3.0	1.0	2.0	3.0	5.0	0.0	3.0	1.0	2.0	1.0	46.0
